altitude,distance,duration,lat,lng,placename
5366.76660156,0,0.0,27.9617906,86.7517048,Cho La Pass Khumjung
4822.98974609,9454,141.583333333,27.9392942,86.7739838,
5055.7265625,15215,215.966666667,27.9712242,86.8268274,
4600.54638672,21298,294.216666667,27.9238814,86.8061543,
4167.05712891,25812,370.316666667,27.8779737,86.8141556,
4009.2277832,31314,471.033333333,27.8560534,86.7867315,
3848.0144043,42299,672.866666667,27.8493578,86.7495333,
4484.88964844,46495,740.483333333,27.9208229,86.7091263,
4753.18701172,46583,741.75,27.952804,86.6941426,
4757.74951172,46583,741.75,27.953468,86.6944684,Gokyo
