altitude,distance,duration,lat,lng,placename
3607.90136719,0,,27.8068745,86.7139704,Namche Bazzar
3611.859375,298,4.75,27.8069516,86.7137063,
3506.96435547,300,4.76666666667,27.8046708,86.7129736,
3506.71704102,513,8.8,27.8046859,86.7129662,
3444.93408203,673,11.35,27.8038319,86.7111408,
3429.0546875,734,12.2166666667,27.8047732,86.7105004,
3422.30151367,1016,17.5666666667,27.8043026,86.7104423,
3390.57714844,11445,194.133333333,27.802444,86.7107879,
2579.16943359,14030,237.983333333,27.7317377,86.7133095,
2625.83837891,17780,303.683333333,27.7123762,86.7137119,
2852.47363281,18192,310.4,27.6889772,86.7302543,
2782.93261719,18192,310.4,27.6856603,86.7278059,Lukula
